hx = 0.05, hy = 0.1, a = 0.318, w = 0.65, freqs = [196.57070104 203.65002193], gamma = 0.00561
hx = 0.05, hy = 0.1, a = 0.319, w = 0.65, freqs = [196.19246065 203.23947879], gamma = 0.00955
hx = 0.05, hy = 0.125, a = 0.319, w = 0.65, freqs = [196.22993222 204.45457501], gamma = 0.01002
hx = 0.05, hy = 0.15, a = 0.319, w = 0.65, freqs = [196.2796962  205.35226067], gamma = 0.01005
hx = 0.05, hy = 0.1, a = 0.32, w = 0.65, freqs = [195.82573895 202.87680664], gamma = 0.01195
hx = 0.075, hy = 0.1, a = 0.32, w = 0.65, freqs = [196.05498006 207.39437514], gamma = 0.01351
hx = 0.075, hy = 0.125, a = 0.32, w = 0.65, freqs = [196.12497435 209.17899345], gamma = 0.01379
hx = 0.075, hy = 0.1, a = 0.321, w = 0.65, freqs = [195.6731786  206.95590644], gamma = 0.01649
hx = 0.075, hy = 0.125, a = 0.321, w = 0.65, freqs = [195.74175763 208.70755324], gamma = 0.0172
hx = 0.075, hy = 0.15, a = 0.321, w = 0.65, freqs = [195.82309834 210.33093541], gamma = 0.0175
hx = 0.075, hy = 0.1, a = 0.322, w = 0.65, freqs = [195.28983471 206.51205727], gamma = 0.01881
hx = 0.1, hy = 0.1, a = 0.322, w = 0.65, freqs = [195.74732716 211.4899751 ], gamma = 0.01891
hx = 0.075, hy = 0.125, a = 0.322, w = 0.65, freqs = [195.35608763 208.21674774], gamma = 0.01983
hx = 0.075, hy = 0.15, a = 0.322, w = 0.65, freqs = [195.43857129 209.85413361], gamma = 0.02048
hx = 0.075, hy = 0.175, a = 0.322, w = 0.65, freqs = [195.54187549 211.42655003], gamma = 0.02072
hx = 0.1, hy = 0.1, a = 0.323, w = 0.65, freqs = [195.35695561 211.02252743], gamma = 0.02197
hx = 0.075, hy = 0.125, a = 0.323, w = 0.65, freqs = [194.97189554 207.76005896], gamma = 0.02199
hx = 0.1, hy = 0.125, a = 0.323, w = 0.65, freqs = [195.47429388 213.21432615], gamma = 0.02245
hx = 0.075, hy = 0.15, a = 0.323, w = 0.65, freqs = [195.05379735 209.38118386], gamma = 0.02291
hx = 0.075, hy = 0.175, a = 0.323, w = 0.65, freqs = [195.15718966 210.95863136], gamma = 0.02345
hx = 0.075, hy = 0.2, a = 0.323, w = 0.65, freqs = [195.29187506 212.67759695], gamma = 0.02365
hx = 0.1, hy = 0.1, a = 0.324, w = 0.65, freqs = [194.97102532 210.56405421], gamma = 0.02447
hx = 0.1, hy = 0.125, a = 0.324, w = 0.65, freqs = [195.0877925  212.74827827], gamma = 0.02531
hx = 0.1, hy = 0.15, a = 0.324, w = 0.65, freqs = [195.22392599 214.91348976], gamma = 0.0257
hx = 0.075, hy = 0.175, a = 0.324, w = 0.65, freqs = [194.77695214 210.50045078], gamma = 0.02572
hx = 0.075, hy = 0.2, a = 0.324, w = 0.65, freqs = [194.9111833  212.20717554], gamma = 0.02621
hx = 0.1, hy = 0.1, a = 0.325, w = 0.65, freqs = [194.57928675 210.09149756], gamma = 0.02661
hx = 0.1, hy = 0.125, a = 0.325, w = 0.65, freqs = [194.69571568 212.26859383], gamma = 0.02777
hx = 0.1, hy = 0.15, a = 0.325, w = 0.65, freqs = [194.83032123 214.4153371 ], gamma = 0.02848
hx = 0.1, hy = 0.175, a = 0.325, w = 0.65, freqs = [194.98147059 216.57398023], gamma = 0.0288
hx = 0.1, hy = 0.125, a = 0.326, w = 0.65, freqs = [194.31273124 211.85227419], gamma = 0.02989
hx = 0.1, hy = 0.15, a = 0.326, w = 0.65, freqs = [194.44237443 213.95122765], gamma = 0.03087
hx = 0.1, hy = 0.175, a = 0.326, w = 0.65, freqs = [194.59553973 216.13322054], gamma = 0.03149
hx = 0.1, hy = 0.2, a = 0.326, w = 0.65, freqs = [194.76815235 218.3128231 ], gamma = 0.03167
hx = 0.1, hy = 0.125, a = 0.327, w = 0.65, freqs = [193.92131211 211.36934084], gamma = 0.03175
hx = 0.1, hy = 0.15, a = 0.327, w = 0.65, freqs = [194.04957477 213.44983941], gamma = 0.03298
hx = 0.1, hy = 0.175, a = 0.327, w = 0.65, freqs = [194.20135227 215.62763206], gamma = 0.03387
hx = 0.1, hy = 0.2, a = 0.327, w = 0.65, freqs = [194.37297919 217.79281071], gamma = 0.03434
hx = 0.1, hy = 0.15, a = 0.328, w = 0.65, freqs = [193.65701384 212.94539334], gamma = 0.03483
hx = 0.1, hy = 0.175, a = 0.328, w = 0.65, freqs = [193.80537652 215.10576227], gamma = 0.03598
hx = 0.1, hy = 0.2, a = 0.328, w = 0.65, freqs = [193.97886753 217.27871075], gamma = 0.0367
hx = 0.1, hy = 0.225, a = 0.328, w = 0.65, freqs = [194.18606759 219.41312815], gamma = 0.03688
hx = 0.1, hy = 0.175, a = 0.329, w = 0.65, freqs = [193.40824334 214.59833516], gamma = 0.03787
hx = 0.1, hy = 0.2, a = 0.329, w = 0.65, freqs = [193.57922997 216.74451831], gamma = 0.03883
hx = 0.1, hy = 0.225, a = 0.329, w = 0.65, freqs = [193.78660875 218.86554808], gamma = 0.03926
hx = 0.1, hy = 0.175, a = 0.33, w = 0.65, freqs = [193.01537995 214.08931399], gamma = 0.03955
hx = 0.125, hy = 0.175, a = 0.33, w = 0.65, freqs = [193.93679719 220.71696361], gamma = 0.03963
hx = 0.1, hy = 0.2, a = 0.33, w = 0.65, freqs = [193.18672787 216.23617845], gamma = 0.04072
hx = 0.1, hy = 0.225, a = 0.33, w = 0.65, freqs = [193.3906359  218.31701938], gamma = 0.04137
hx = 0.1, hy = 0.25, a = 0.33, w = 0.65, freqs = [193.6263737  220.24732182], gamma = 0.04142
hx = 0.125, hy = 0.175, a = 0.331, w = 0.65, freqs = [193.53820265 220.28117759], gamma = 0.04203
hx = 0.1, hy = 0.2, a = 0.331, w = 0.65, freqs = [192.8002349  215.80006452], gamma = 0.04247
hx = 0.1, hy = 0.225, a = 0.331, w = 0.65, freqs = [193.00199124 217.84859345], gamma = 0.0433
hx = 0.1, hy = 0.25, a = 0.331, w = 0.65, freqs = [193.23727251 219.77355473], gamma = 0.04357
hx = 0.125, hy = 0.175, a = 0.332, w = 0.65, freqs = [193.1349574  219.74658552], gamma = 0.04418
hx = 0.125, hy = 0.2, a = 0.332, w = 0.65, freqs = [193.36242269 222.33840687], gamma = 0.04481
hx = 0.1, hy = 0.225, a = 0.332, w = 0.65, freqs = [192.6088716  217.29858559], gamma = 0.04502
hx = 0.1, hy = 0.25, a = 0.332, w = 0.65, freqs = [192.84581627 219.22914234], gamma = 0.04548
hx = 0.1, hy = 0.275, a = 0.332, w = 0.65, freqs = [193.13031596 221.29494698], gamma = 0.04551
hx = 0.125, hy = 0.175, a = 0.333, w = 0.65, freqs = [192.73320717 219.21321127], gamma = 0.04613
hx = 0.125, hy = 0.2, a = 0.333, w = 0.65, freqs = [192.95906771 221.79272298], gamma = 0.047
hx = 0.125, hy = 0.225, a = 0.333, w = 0.65, freqs = [193.21769225 224.34914848], gamma = 0.04731
hx = 0.1, hy = 0.275, a = 0.333, w = 0.65, freqs = [192.73737731 220.73670581], gamma = 0.04747
hx = 0.125, hy = 0.175, a = 0.334, w = 0.65, freqs = [192.35407063 218.72856529], gamma = 0.04784
hx = 0.125, hy = 0.2, a = 0.334, w = 0.65, freqs = [192.57955746 221.29954722], gamma = 0.04891
hx = 0.125, hy = 0.225, a = 0.334, w = 0.65, freqs = [192.83662538 223.83529742], gamma = 0.04943
hx = 0.125, hy = 0.2, a = 0.335, w = 0.65, freqs = [192.20879529 220.82292036], gamma = 0.05064
hx = 0.125, hy = 0.225, a = 0.335, w = 0.65, freqs = [192.46384494 223.33308465], gamma = 0.05136
hx = 0.125, hy = 0.25, a = 0.335, w = 0.65, freqs = [192.75160104 225.82506003], gamma = 0.05154
hx = 0.125, hy = 0.225, a = 0.336, w = 0.65, freqs = [192.32668538 223.02142902], gamma = 0.05192
hx = 0.125, hy = 0.25, a = 0.336, w = 0.65, freqs = [192.62180735 225.54828751], gamma = 0.05217
hx = 0.125, hy = 0.2, a = 0.337, w = 0.65, freqs = [191.71162458 220.10695551], gamma = 0.0527
hx = 0.125, hy = 0.225, a = 0.337, w = 0.65, freqs = [191.96692009 222.6023286 ], gamma = 0.05366
hx = 0.125, hy = 0.25, a = 0.337, w = 0.65, freqs = [192.25619167 225.10313264], gamma = 0.05411
hx = 0.125, hy = 0.2, a = 0.338, w = 0.65, freqs = [191.33794822 219.60975196], gamma = 0.05415
hx = 0.125, hy = 0.225, a = 0.338, w = 0.65, freqs = [191.59201057 222.08027527], gamma = 0.05528
hx = 0.125, hy = 0.25, a = 0.338, w = 0.65, freqs = [191.8802583  224.57904849], gamma = 0.05592
hx = 0.125, hy = 0.275, a = 0.338, w = 0.65, freqs = [192.21181417 227.16604394], gamma = 0.05605
hx = 0.125, hy = 0.225, a = 0.339, w = 0.65, freqs = [191.21629087 221.55893841], gamma = 0.05678
hx = 0.125, hy = 0.25, a = 0.339, w = 0.65, freqs = [191.50343237 224.05497977], gamma = 0.05762
hx = 0.125, hy = 0.275, a = 0.339, w = 0.65, freqs = [191.83401513 226.62168129], gamma = 0.05793
hx = 0.125, hy = 0.225, a = 0.34, w = 0.65, freqs = [190.84005186 221.03696172], gamma = 0.05819
hx = 0.125, hy = 0.25, a = 0.34, w = 0.65, freqs = [191.1253995  223.52550203], gamma = 0.05921
hx = 0.125, hy = 0.275, a = 0.34, w = 0.65, freqs = [191.45361067 226.06605562], gamma = 0.0597
hx = 0.125, hy = 0.25, a = 0.341, w = 0.65, freqs = [190.74749885 223.00065973], gamma = 0.06069
hx = 0.125, hy = 0.275, a = 0.341, w = 0.65, freqs = [191.07485821 225.51963846], gamma = 0.06136
hx = 0.125, hy = 0.25, a = 0.342, w = 0.65, freqs = [190.3687269 222.4690937], gamma = 0.06207
hx = 0.125, hy = 0.275, a = 0.342, w = 0.65, freqs = [190.69563645 224.97188743], gamma = 0.06291
hx = 0.125, hy = 0.3, a = 0.342, w = 0.65, freqs = [191.07805941 227.41754209], gamma = 0.06304
hx = 0.125, hy = 0.25, a = 0.343, w = 0.65, freqs = [190.0004035  222.02679891], gamma = 0.06341
hx = 0.125, hy = 0.275, a = 0.343, w = 0.65, freqs = [190.32677626 224.5128078 ], gamma = 0.06439
hx = 0.125, hy = 0.3, a = 0.343, w = 0.65, freqs = [190.70700273 226.92509379], gamma = 0.06468
hx = 0.125, hy = 0.275, a = 0.344, w = 0.65, freqs = [189.9475972  223.95080136], gamma = 0.06574
hx = 0.125, hy = 0.3, a = 0.344, w = 0.65, freqs = [190.32665879 226.33738097], gamma = 0.06619
hx = 0.15, hy = 0.25, a = 0.345, w = 0.65, freqs = [190.71387194 228.78660249], gamma = 0.06631
hx = 0.125, hy = 0.275, a = 0.345, w = 0.65, freqs = [189.56845681 223.38863657], gamma = 0.067
hx = 0.125, hy = 0.3, a = 0.345, w = 0.65, freqs = [189.9458668  225.74551784], gamma = 0.06759
hx = 0.15, hy = 0.25, a = 0.346, w = 0.65, freqs = [190.31804585 228.14264856], gamma = 0.06793
hx = 0.125, hy = 0.275, a = 0.346, w = 0.65, freqs = [189.1992396  222.77773367], gamma = 0.06807
hx = 0.15, hy = 0.275, a = 0.346, w = 0.65, freqs = [190.70723615 231.14654004], gamma = 0.06837
hx = 0.125, hy = 0.3, a = 0.346, w = 0.65, freqs = [189.57284519 225.11021858], gamma = 0.06882
hx = 0.125, hy = 0.325, a = 0.346, w = 0.65, freqs = [190.00856869 227.39762532], gamma = 0.06889
hx = 0.15, hy = 0.25, a = 0.347, w = 0.65, freqs = [189.96495349 227.6469964 ], gamma = 0.06935
hx = 0.15, hy = 0.275, a = 0.347, w = 0.65, freqs = [190.35084742 230.6217903 ], gamma = 0.06996
hx = 0.125, hy = 0.325, a = 0.347, w = 0.65, freqs = [189.65426009 226.81947799], gamma = 0.07016
hx = 0.15, hy = 0.25, a = 0.348, w = 0.65, freqs = [189.61299587 227.12658719], gamma = 0.07068
hx = 0.15, hy = 0.275, a = 0.348, w = 0.65, freqs = [189.98119049 229.99763513], gamma = 0.07145
hx = 0.15, hy = 0.3, a = 0.348, w = 0.65, freqs = [190.42697374 232.9592736 ], gamma = 0.07149
hx = 0.15, hy = 0.25, a = 0.349, w = 0.65, freqs = [189.26659729 226.72654026], gamma = 0.07202
hx = 0.15, hy = 0.275, a = 0.349, w = 0.65, freqs = [189.62532796 229.48043391], gamma = 0.07289
hx = 0.15, hy = 0.3, a = 0.349, w = 0.65, freqs = [190.08215171 232.55175075], gamma = 0.07313
hx = 0.15, hy = 0.25, a = 0.35, w = 0.65, freqs = [188.90924401 226.16614021], gamma = 0.07319
hx = 0.15, hy = 0.275, a = 0.35, w = 0.65, freqs = [189.27154457 228.94751748], gamma = 0.07422
hx = 0.15, hy = 0.3, a = 0.35, w = 0.65, freqs = [189.72643328 231.9886512 ], gamma = 0.07462
hx = 0.15, hy = 0.275, a = 0.351, w = 0.65, freqs = [188.92525585 228.43357072], gamma = 0.07546
hx = 0.15, hy = 0.3, a = 0.351, w = 0.65, freqs = [189.3748497  231.40882004], gamma = 0.076
hx = 0.15, hy = 0.275, a = 0.352, w = 0.65, freqs = [188.60289233 227.97169425], gamma = 0.07658
hx = 0.15, hy = 0.3, a = 0.352, w = 0.65, freqs = [189.03590365 230.82708574], gamma = 0.07724
hx = 0.15, hy = 0.325, a = 0.352, w = 0.65, freqs = [189.51929414 233.79710835], gamma = 0.07734
hx = 0.15, hy = 0.275, a = 0.353, w = 0.65, freqs = [188.28527935 227.5152513 ], gamma = 0.07763
hx = 0.15, hy = 0.3, a = 0.353, w = 0.65, freqs = [188.71837067 230.35881332], gamma = 0.07842
hx = 0.15, hy = 0.325, a = 0.353, w = 0.65, freqs = [189.20296094 233.32506133], gamma = 0.07866
hx = 0.15, hy = 0.3, a = 0.354, w = 0.65, freqs = [188.40600726 229.86502905], gamma = 0.07949
hx = 0.15, hy = 0.325, a = 0.354, w = 0.65, freqs = [188.89464012 232.83624583], gamma = 0.07986
hx = 0.15, hy = 0.3, a = 0.355, w = 0.65, freqs = [188.11133147 229.53325887], gamma = 0.0806
hx = 0.15, hy = 0.325, a = 0.355, w = 0.65, freqs = [188.58738998 232.38886432], gamma = 0.08104
hx = 0.15, hy = 0.3, a = 0.356, w = 0.65, freqs = [187.79023475 229.02536831], gamma = 0.08161
hx = 0.15, hy = 0.325, a = 0.356, w = 0.65, freqs = [188.27162169 231.86858803], gamma = 0.08215
hx = 0.15, hy = 0.3, a = 0.358, w = 0.65, freqs = [187.47310937 228.34315408], gamma = 0.08235
hx = 0.15, hy = 0.325, a = 0.358, w = 0.65, freqs = [187.9451797 231.1105147], gamma = 0.08302
hx = 0.15, hy = 0.3, a = 0.359, w = 0.65, freqs = [187.14876034 227.84017308], gamma = 0.08328
hx = 0.15, hy = 0.325, a = 0.359, w = 0.65, freqs = [187.61874269 230.56407493], gamma = 0.08405
hx = 0.15, hy = 0.3, a = 0.36, w = 0.65, freqs = [186.81782551 227.29151678], gamma = 0.08413
hx = 0.15, hy = 0.325, a = 0.36, w = 0.65, freqs = [187.2910539  230.04299046], gamma = 0.08505
hx = 0.15, hy = 0.35, a = 0.36, w = 0.65, freqs = [187.85075419 232.70579979], gamma = 0.08508
hx = 0.175, hy = 0.3, a = 0.361, w = 0.65, freqs = [188.33794889 235.41589681], gamma = 0.08513
hx = 0.15, hy = 0.325, a = 0.361, w = 0.65, freqs = [186.96727679 229.53023161], gamma = 0.086
hx = 0.15, hy = 0.35, a = 0.361, w = 0.65, freqs = [187.52403771 232.14452841], gamma = 0.08613
