hx = 0.05, hy = 0.1, a = 0.3, w = 0.65, freqs = [196.70191396 204.36303547], gamma = 0.00312
hx = 0.05, hy = 0.1, a = 0.301, w = 0.65, freqs = [196.45396125 203.99398562], gamma = 0.00735
hx = 0.05, hy = 0.125, a = 0.301, w = 0.65, freqs = [196.49538582 205.35755446], gamma = 0.00741
hx = 0.05, hy = 0.1, a = 0.302, w = 0.65, freqs = [196.02585983 203.52098544], gamma = 0.01111
hx = 0.075, hy = 0.1, a = 0.302, w = 0.65, freqs = [196.29658919 208.50188479], gamma = 0.01144
hx = 0.05, hy = 0.125, a = 0.302, w = 0.65, freqs = [196.06684791 204.87586546], gamma = 0.01178
hx = 0.05, hy = 0.15, a = 0.302, w = 0.65, freqs = [196.12066129 206.13569473], gamma = 0.01211
hx = 0.05, hy = 0.1, a = 0.303, w = 0.65, freqs = [195.6171931  203.07980494], gamma = 0.01345
hx = 0.075, hy = 0.1, a = 0.303, w = 0.65, freqs = [195.88509798 208.03113418], gamma = 0.01549
hx = 0.075, hy = 0.125, a = 0.303, w = 0.65, freqs = [195.96005967 209.93341503], gamma = 0.01593
hx = 0.075, hy = 0.15, a = 0.303, w = 0.65, freqs = [196.04709112 211.74899014], gamma = 0.01596
hx = 0.075, hy = 0.1, a = 0.304, w = 0.65, freqs = [195.47924669 207.56870401], gamma = 0.01842
hx = 0.075, hy = 0.125, a = 0.304, w = 0.65, freqs = [195.55382773 209.46385261], gamma = 0.01928
hx = 0.075, hy = 0.15, a = 0.304, w = 0.65, freqs = [195.64037321 211.26620004], gamma = 0.01975
hx = 0.075, hy = 0.175, a = 0.304, w = 0.65, freqs = [195.74877855 213.06735036], gamma = 0.0198
hx = 0.075, hy = 0.1, a = 0.305, w = 0.65, freqs = [195.08277765 207.1341996 ], gamma = 0.02071
hx = 0.075, hy = 0.125, a = 0.305, w = 0.65, freqs = [195.15645337 209.02983732], gamma = 0.02191
hx = 0.075, hy = 0.15, a = 0.305, w = 0.65, freqs = [195.24359398 210.83802241], gamma = 0.02271
hx = 0.075, hy = 0.175, a = 0.305, w = 0.65, freqs = [195.35160024 212.62707502], gamma = 0.02312
hx = 0.1, hy = 0.1, a = 0.306, w = 0.65, freqs = [195.22767705 211.89024416], gamma = 0.02361
hx = 0.075, hy = 0.125, a = 0.306, w = 0.65, freqs = [194.74835892 208.54854517], gamma = 0.02412
hx = 0.1, hy = 0.125, a = 0.306, w = 0.65, freqs = [195.35968952 214.26936913], gamma = 0.02412
hx = 0.075, hy = 0.15, a = 0.306, w = 0.65, freqs = [194.8351093  210.34408373], gamma = 0.0252
hx = 0.075, hy = 0.175, a = 0.306, w = 0.65, freqs = [194.94177743 212.10456244], gamma = 0.02591
hx = 0.075, hy = 0.2, a = 0.306, w = 0.65, freqs = [195.07305921 213.7386089 ], gamma = 0.02614
hx = 0.1, hy = 0.1, a = 0.307, w = 0.65, freqs = [194.81101868 211.39537817], gamma = 0.02626
hx = 0.1, hy = 0.125, a = 0.307, w = 0.65, freqs = [194.94209594 213.76479941], gamma = 0.02716
hx = 0.075, hy = 0.15, a = 0.307, w = 0.65, freqs = [194.425516   209.84934906], gamma = 0.02731
hx = 0.1, hy = 0.15, a = 0.307, w = 0.65, freqs = [195.09026891 216.08660064], gamma = 0.02758
