wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.275, hy = 0.225, a = 0.367, w = 0.65, gamma = 0.01195, freqs = 196.5889 , 237.7126 
hx = 0.275, hy = 0.225, a = 0.368, w = 0.65, gamma = 0.02338, freqs = 196.1232 , 237.5689 
hx = 0.275, hy = 0.225, a = 0.369, w = 0.65, gamma = 0.03138, freqs = 195.6111 , 237.0994 
hx = 0.3, hy = 0.225, a = 0.382, w = 0.65, gamma = 0.03268, freqs = 195.4728 , 235.4919 
hx = 0.3, hy = 0.225, a = 0.383, w = 0.65, gamma = 0.03851, freqs = 194.9744 , 235.3425 
hx = 0.3, hy = 0.225, a = 0.384, w = 0.65, gamma = 0.04376, freqs = 194.4395 , 234.8906 
hx = 0.3, hy = 0.225, a = 0.385, w = 0.65, gamma = 0.04837, freqs = 193.9063 , 234.4605 
hx = 0.3, hy = 0.225, a = 0.386, w = 0.65, gamma = 0.05253, freqs = 193.37 , 233.9999 
hx = 0.3, hy = 0.225, a = 0.387, w = 0.65, gamma = 0.05633, freqs = 192.8354 , 233.5699 
hx = 0.3, hy = 0.225, a = 0.388, w = 0.65, gamma = 0.05972, freqs = 192.315 , 233.1175 
hx = 0.3, hy = 0.225, a = 0.389, w = 0.65, gamma = 0.06284, freqs = 191.8026 , 232.6787 
hx = 0.3, hy = 0.225, a = 0.39, w = 0.65, gamma = 0.06571, freqs = 191.3219 , 232.4374 
hx = 0.3, hy = 0.225, a = 0.391, w = 0.65, gamma = 0.06839, freqs = 190.8299 , 232.0609 
hx = 0.3, hy = 0.225, a = 0.392, w = 0.65, gamma = 0.07099, freqs = 190.3141 , 231.5792 
hx = 0.3, hy = 0.225, a = 0.393, w = 0.65, gamma = 0.07339, freqs = 189.812 , 231.13 
hx = 0.3, hy = 0.225, a = 0.394, w = 0.65, gamma = 0.07559, freqs = 189.3247 , 230.6702 
hx = 0.325, hy = 0.225, a = 0.407, w = 0.65, gamma = 0.07626, freqs = 188.8994 , 229.0997 
hx = 0.325, hy = 0.225, a = 0.409, w = 0.65, gamma = 0.07756, freqs = 188.5308 , 228.5689 
hx = 0.325, hy = 0.225, a = 0.41, w = 0.65, gamma = 0.07958, freqs = 188.0248 , 228.1707 
hx = 0.325, hy = 0.225, a = 0.411, w = 0.65, gamma = 0.08147, freqs = 187.5264 , 227.7737 
hx = 0.325, hy = 0.225, a = 0.412, w = 0.65, gamma = 0.08327, freqs = 187.0266 , 227.3551 
hx = 0.325, hy = 0.225, a = 0.413, w = 0.65, gamma = 0.08496, freqs = 186.539 , 226.9603 
hx = 0.325, hy = 0.225, a = 0.414, w = 0.65, gamma = 0.08657, freqs = 186.0537 , 226.5702 
